Location,Year,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65,Total,Footnotes
United States,2013,0.247,0.094,0.120,0.271,0.127,0.141,1.000,1
Alabama,2013,0.248,0.094,0.113,0.265,0.131,0.149,1.000,
Alaska,2013,0.272,0.107,0.136,0.265,0.126,0.094,1.000,
Arizona,2013,0.258,0.095,0.119,0.252,0.120,0.155,1.000,
Arkansas,2013,0.255,0.089,0.118,0.259,0.127,0.153,1.000,
California,2013,0.253,0.102,0.129,0.273,0.116,0.126,1.000,
Colorado,2013,0.251,0.095,0.130,0.275,0.127,0.123,1.000,
Connecticut,2013,0.235,0.082,0.111,0.286,0.137,0.150,1.000,
Delaware,2013,0.235,0.087,0.117,0.271,0.133,0.158,1.000,
District of Columbia,2013,0.187,0.113,0.207,0.266,0.111,0.116,1.000,
Florida,2013,0.219,0.089,0.109,0.265,0.131,0.187,1.000,
Georgia,2013,0.267,0.094,0.119,0.281,0.118,0.120,1.000,
Hawaii,2013,0.236,0.090,0.121,0.258,0.133,0.162,1.000,
Idaho,2013,0.280,0.093,0.116,0.250,0.123,0.139,1.000,
Illinois,2013,0.248,0.094,0.125,0.275,0.125,0.133,1.000,
Indiana,2013,0.257,0.092,0.115,0.269,0.129,0.138,1.000,
Iowa,2013,0.250,0.091,0.115,0.258,0.134,0.152,1.000,
Kansas,2013,0.265,0.094,0.120,0.254,0.127,0.139,1.000,
Kentucky,2013,0.245,0.092,0.114,0.272,0.133,0.144,1.000,
Louisiana,2013,0.257,0.100,0.126,0.258,0.128,0.131,1.000,
Maine,2013,0.206,0.080,0.100,0.280,0.158,0.176,1.000,
Maryland,2013,0.241,0.088,0.123,0.284,0.129,0.133,1.000,
Massachusetts,2013,0.223,0.091,0.122,0.283,0.133,0.148,1.000,
Michigan,2013,0.240,0.096,0.107,0.270,0.139,0.149,1.000,
Minnesota,2013,0.249,0.087,0.125,0.271,0.131,0.138,1.000,
Mississippi,2013,0.265,0.096,0.113,0.260,0.127,0.139,1.000,
Missouri,2013,0.244,0.093,0.119,0.264,0.131,0.149,1.000,
Montana,2013,0.234,0.092,0.111,0.250,0.150,0.162,1.000,
Nebraska,2013,0.264,0.093,0.123,0.254,0.127,0.140,1.000,
Nevada,2013,0.250,0.091,0.126,0.273,0.122,0.137,1.000,
New Hampshire,2013,0.219,0.082,0.104,0.293,0.150,0.152,1.000,
New Jersey,2013,0.242,0.084,0.114,0.289,0.128,0.143,1.000,
New Mexico,2013,0.260,0.096,0.115,0.250,0.130,0.149,1.000,
New York,2013,0.229,0.096,0.128,0.277,0.128,0.143,1.000,
North Carolina,2013,0.248,0.091,0.114,0.277,0.127,0.143,1.000,
North Dakota,2013,0.236,0.124,0.122,0.246,0.132,0.140,1.000,
Ohio,2013,0.242,0.089,0.113,0.269,0.137,0.150,1.000,
Oklahoma,2013,0.262,0.096,0.122,0.255,0.123,0.141,1.000,
Oregon,2013,0.229,0.091,0.121,0.266,0.139,0.154,1.000,
Pennsylvania,2013,0.226,0.089,0.112,0.270,0.140,0.163,1.000,
Rhode Island,2013,0.217,0.099,0.116,0.277,0.138,0.154,1.000,
South Carolina,2013,0.242,0.094,0.112,0.266,0.133,0.153,1.000,
South Dakota,2013,0.256,0.092,0.120,0.254,0.134,0.145,1.000,
Tennessee,2013,0.244,0.092,0.116,0.272,0.131,0.146,1.000,
Texas,2013,0.283,0.099,0.128,0.268,0.110,0.112,1.000,
Utah,2013,0.326,0.110,0.137,0.237,0.093,0.098,1.000,
Vermont,2013,0.215,0.079,0.106,0.279,0.156,0.167,1.000,
Virginia,2013,0.243,0.090,0.122,0.281,0.128,0.136,1.000,
Washington,2013,0.241,0.091,0.128,0.272,0.131,0.137,1.000,
West Virginia,2013,0.217,0.087,0.106,0.267,0.151,0.173,1.000,
Wisconsin,2013,0.241,0.089,0.116,0.271,0.136,0.147,1.000,
Wyoming,2013,0.251,0.097,0.131,0.248,0.140,0.133,1.000,
Puerto Rico,2013,0.242,0.101,0.109,0.261,0.121,0.165,1.000,
