Location,Year,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65,Total,Footnotes
United States,2023,0.230,0.084,0.123,0.258,0.127,0.178,1.000,1
Alabama,2023,0.235,0.087,0.113,0.252,0.130,0.184,1.000,
Alaska,2023,0.259,0.071,0.138,0.265,0.123,0.143,1.000,
Arizona,2023,0.227,0.089,0.125,0.244,0.120,0.195,1.000,
Arkansas,2023,0.243,0.087,0.116,0.250,0.125,0.179,1.000,
California,2023,0.230,0.087,0.132,0.267,0.122,0.163,1.000,
Colorado,2023,0.219,0.086,0.143,0.273,0.117,0.162,1.000,
Connecticut,2023,0.214,0.078,0.117,0.257,0.143,0.191,1.000,
Delaware,2023,0.219,0.077,0.107,0.241,0.140,0.216,1.000,
District of Columbia,2023,0.197,0.087,0.201,0.284,0.096,0.135,1.000,
Florida,2023,0.205,0.076,0.112,0.252,0.136,0.218,1.000,
Georgia,2023,0.246,0.087,0.124,0.265,0.123,0.155,1.000,
Hawaii,2023,0.221,0.071,0.109,0.253,0.128,0.218,1.000,
Idaho,2023,0.253,0.089,0.118,0.250,0.117,0.175,1.000,
Illinois,2023,0.229,0.085,0.122,0.261,0.128,0.175,1.000,
Indiana,2023,0.244,0.089,0.119,0.251,0.125,0.171,1.000,
Iowa,2023,0.240,0.088,0.113,0.248,0.128,0.184,1.000,
Kansas,2023,0.250,0.089,0.118,0.245,0.121,0.176,1.000,
Kentucky,2023,0.236,0.087,0.118,0.251,0.131,0.177,1.000,
Louisiana,2023,0.249,0.082,0.117,0.252,0.126,0.175,1.000,
Maine,2023,0.184,0.071,0.112,0.253,0.152,0.228,1.000,
Maryland,2023,0.233,0.077,0.117,0.265,0.135,0.173,1.000,
Massachusetts,2023,0.205,0.083,0.128,0.260,0.138,0.186,1.000,
Michigan,2023,0.222,0.087,0.120,0.244,0.135,0.192,1.000,
Minnesota,2023,0.237,0.084,0.118,0.257,0.128,0.176,1.000,
Mississippi,2023,0.247,0.087,0.106,0.257,0.126,0.177,1.000,
Missouri,2023,0.233,0.085,0.119,0.249,0.130,0.183,1.000,
Montana,2023,0.219,0.082,0.118,0.249,0.126,0.205,1.000,
Nebraska,2023,0.257,0.091,0.116,0.246,0.119,0.172,1.000,
Nevada,2023,0.226,0.080,0.128,0.266,0.125,0.175,1.000,
New Hampshire,2023,0.191,0.075,0.115,0.256,0.157,0.206,1.000,
New Jersey,2023,0.229,0.077,0.116,0.265,0.135,0.177,1.000,
New Mexico,2023,0.228,0.083,0.116,0.246,0.123,0.204,1.000,
New York,2023,0.212,0.081,0.129,0.257,0.135,0.186,1.000,
North Carolina,2023,0.229,0.085,0.119,0.259,0.129,0.179,1.000,
North Dakota,2023,0.245,0.095,0.132,0.241,0.114,0.172,1.000,
Ohio,2023,0.231,0.082,0.121,0.248,0.131,0.187,1.000,
Oklahoma,2023,0.256,0.091,0.119,0.249,0.117,0.168,1.000,
Oregon,2023,0.206,0.082,0.126,0.269,0.120,0.197,1.000,
Pennsylvania,2023,0.216,0.078,0.117,0.251,0.137,0.201,1.000,
Rhode Island,2023,0.200,0.081,0.129,0.252,0.143,0.195,1.000,
South Carolina,2023,0.226,0.080,0.113,0.251,0.134,0.195,1.000,
South Dakota,2023,0.256,0.081,0.111,0.243,0.127,0.182,1.000,
Tennessee,2023,0.231,0.084,0.125,0.256,0.128,0.176,1.000,
Texas,2023,0.263,0.092,0.129,0.267,0.111,0.138,1.000,
Utah,2023,0.290,0.111,0.134,0.252,0.092,0.122,1.000,
Vermont,2023,0.188,0.076,0.110,0.252,0.150,0.224,1.000,
Virginia,2023,0.232,0.081,0.120,0.263,0.130,0.175,1.000,
Washington,2023,0.223,0.081,0.136,0.269,0.119,0.172,1.000,
West Virginia,2023,0.212,0.083,0.104,0.248,0.137,0.217,1.000,
Wisconsin,2023,0.222,0.086,0.114,0.249,0.138,0.191,1.000,
Wyoming,2023,0.238,0.076,0.120,0.249,0.126,0.191,1.000,
Puerto Rico,2023,0.169,0.094,0.113,0.247,0.136,0.240,1.000,
