Location,Year,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65,Total,Footnotes
United States,2019,0.236,0.087,0.125,0.255,0.132,0.165,1.000,1
Alabama,2019,0.237,0.087,0.115,0.251,0.135,0.175,1.000,
Alaska,2019,0.259,0.093,0.139,0.246,0.132,0.130,1.000,
Arizona,2019,0.240,0.093,0.121,0.241,0.124,0.182,1.000,
Arkansas,2019,0.247,0.087,0.115,0.248,0.131,0.173,1.000,
California,2019,0.237,0.092,0.137,0.263,0.123,0.149,1.000,
Colorado,2019,0.231,0.089,0.141,0.265,0.126,0.148,1.000,
Connecticut,2019,0.217,0.086,0.113,0.259,0.148,0.177,1.000,
Delaware,2019,0.218,0.081,0.118,0.242,0.144,0.197,1.000,
District of Columbia,2019,0.195,0.090,0.216,0.269,0.103,0.127,1.000,
Florida,2019,0.209,0.080,0.114,0.249,0.137,0.211,1.000,
Georgia,2019,0.253,0.089,0.122,0.267,0.125,0.145,1.000,
Hawaii,2019,0.228,0.072,0.116,0.255,0.132,0.197,1.000,
Idaho,2019,0.267,0.085,0.120,0.242,0.125,0.162,1.000,
Illinois,2019,0.237,0.087,0.126,0.258,0.132,0.160,1.000,
Indiana,2019,0.246,0.091,0.118,0.250,0.134,0.161,1.000,
Iowa,2019,0.244,0.089,0.114,0.243,0.136,0.174,1.000,
Kansas,2019,0.257,0.092,0.116,0.241,0.131,0.164,1.000,
Kentucky,2019,0.237,0.089,0.114,0.254,0.137,0.170,1.000,
Louisiana,2019,0.250,0.088,0.123,0.248,0.132,0.160,1.000,
Maine,2019,0.190,0.075,0.110,0.252,0.160,0.213,1.000,
Maryland,2019,0.233,0.081,0.123,0.265,0.138,0.160,1.000,
Massachusetts,2019,0.209,0.087,0.132,0.260,0.141,0.171,1.000,
Michigan,2019,0.227,0.091,0.118,0.246,0.142,0.177,1.000,
Minnesota,2019,0.243,0.082,0.125,0.252,0.137,0.162,1.000,
Mississippi,2019,0.254,0.089,0.110,0.251,0.131,0.165,1.000,
Missouri,2019,0.236,0.085,0.121,0.246,0.139,0.172,1.000,
Montana,2019,0.226,0.085,0.114,0.236,0.143,0.196,1.000,
Nebraska,2019,0.260,0.088,0.122,0.240,0.129,0.162,1.000,
Nevada,2019,0.235,0.083,0.131,0.262,0.126,0.163,1.000,
New Hampshire,2019,0.201,0.078,0.115,0.258,0.163,0.186,1.000,
New Jersey,2019,0.230,0.082,0.117,0.267,0.139,0.165,1.000,
New Mexico,2019,0.240,0.090,0.117,0.238,0.132,0.183,1.000,
New York,2019,0.217,0.086,0.134,0.257,0.136,0.169,1.000,
North Carolina,2019,0.235,0.086,0.118,0.260,0.133,0.169,1.000,
North Dakota,2019,0.245,0.102,0.137,0.232,0.128,0.156,1.000,
Ohio,2019,0.234,0.085,0.119,0.248,0.140,0.174,1.000,
Oklahoma,2019,0.256,0.091,0.123,0.242,0.127,0.160,1.000,
Oregon,2019,0.214,0.084,0.128,0.261,0.129,0.183,1.000,
Pennsylvania,2019,0.219,0.079,0.123,0.248,0.145,0.187,1.000,
Rhode Island,2019,0.207,0.088,0.127,0.253,0.148,0.178,1.000,
South Carolina,2019,0.230,0.082,0.116,0.249,0.138,0.184,1.000,
South Dakota,2019,0.257,0.082,0.115,0.235,0.136,0.174,1.000,
Tennessee,2019,0.235,0.086,0.124,0.254,0.134,0.167,1.000,
Texas,2019,0.272,0.094,0.130,0.261,0.114,0.129,1.000,
Utah,2019,0.308,0.109,0.132,0.242,0.095,0.115,1.000,
Vermont,2019,0.195,0.086,0.111,0.247,0.158,0.204,1.000,
Virginia,2019,0.234,0.084,0.120,0.265,0.135,0.163,1.000,
Washington,2019,0.230,0.084,0.138,0.260,0.129,0.160,1.000,
West Virginia,2019,0.212,0.081,0.105,0.251,0.146,0.205,1.000,
Wisconsin,2019,0.230,0.085,0.116,0.251,0.143,0.175,1.000,
Wyoming,2019,0.251,0.083,0.117,0.242,0.135,0.172,1.000,
Puerto Rico,2019,0.196,0.099,0.105,0.253,0.135,0.213,1.000,
