Location,Year,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65,Total,Footnotes
United States,2015,0.243,0.093,0.122,0.265,0.130,0.148,1.000,1
Alabama,2015,0.243,0.090,0.115,0.261,0.134,0.158,1.000,
Alaska,2015,0.271,0.111,0.136,0.251,0.131,0.100,1.000,
Arizona,2015,0.251,0.095,0.117,0.250,0.121,0.166,1.000,
Arkansas,2015,0.250,0.090,0.116,0.256,0.128,0.159,1.000,
California,2015,0.246,0.100,0.132,0.269,0.120,0.133,1.000,
Colorado,2015,0.245,0.093,0.136,0.268,0.128,0.131,1.000,
Connecticut,2015,0.229,0.087,0.108,0.278,0.142,0.156,1.000,
Delaware,2015,0.231,0.090,0.115,0.258,0.138,0.169,1.000,
District of Columbia,2015,0.189,0.105,0.212,0.270,0.111,0.113,1.000,
Florida,2015,0.215,0.086,0.112,0.259,0.133,0.196,1.000,
Georgia,2015,0.263,0.092,0.120,0.277,0.121,0.127,1.000,
Hawaii,2015,0.233,0.089,0.125,0.252,0.131,0.170,1.000,
Idaho,2015,0.276,0.092,0.115,0.246,0.125,0.147,1.000,
Illinois,2015,0.243,0.094,0.124,0.270,0.129,0.141,1.000,
Indiana,2015,0.253,0.095,0.114,0.262,0.132,0.145,1.000,
Iowa,2015,0.246,0.092,0.116,0.252,0.136,0.158,1.000,
Kansas,2015,0.264,0.093,0.119,0.251,0.130,0.144,1.000,
Kentucky,2015,0.242,0.090,0.112,0.267,0.136,0.152,1.000,
Louisiana,2015,0.255,0.096,0.126,0.253,0.130,0.140,1.000,
Maine,2015,0.200,0.080,0.100,0.269,0.161,0.190,1.000,
Maryland,2015,0.237,0.091,0.122,0.277,0.133,0.141,1.000,
Massachusetts,2015,0.218,0.091,0.125,0.275,0.138,0.153,1.000,
Michigan,2015,0.235,0.095,0.111,0.261,0.141,0.159,1.000,
Minnesota,2015,0.246,0.085,0.125,0.265,0.135,0.144,1.000,
Mississippi,2015,0.263,0.094,0.109,0.257,0.128,0.148,1.000,
Missouri,2015,0.243,0.093,0.116,0.257,0.136,0.155,1.000,
Montana,2015,0.229,0.092,0.114,0.243,0.149,0.173,1.000,
Nebraska,2015,0.264,0.094,0.119,0.249,0.129,0.146,1.000,
Nevada,2015,0.243,0.090,0.126,0.271,0.124,0.148,1.000,
New Hampshire,2015,0.213,0.083,0.105,0.279,0.157,0.163,1.000,
New Jersey,2015,0.237,0.086,0.114,0.282,0.134,0.148,1.000,
New Mexico,2015,0.255,0.093,0.116,0.243,0.132,0.160,1.000,
New York,2015,0.225,0.095,0.130,0.271,0.131,0.149,1.000,
North Carolina,2015,0.244,0.090,0.115,0.271,0.129,0.151,1.000,
North Dakota,2015,0.246,0.108,0.136,0.240,0.129,0.141,1.000,
Ohio,2015,0.240,0.088,0.115,0.261,0.139,0.157,1.000,
Oklahoma,2015,0.263,0.091,0.123,0.249,0.127,0.147,1.000,
Oregon,2015,0.224,0.089,0.124,0.262,0.137,0.165,1.000,
Pennsylvania,2015,0.224,0.086,0.115,0.261,0.143,0.170,1.000,
Rhode Island,2015,0.216,0.096,0.120,0.268,0.142,0.159,1.000,
South Carolina,2015,0.236,0.094,0.112,0.260,0.135,0.164,1.000,
South Dakota,2015,0.262,0.089,0.119,0.241,0.136,0.155,1.000,
Tennessee,2015,0.241,0.091,0.116,0.266,0.132,0.154,1.000,
Texas,2015,0.280,0.097,0.129,0.265,0.113,0.117,1.000,
Utah,2015,0.321,0.110,0.131,0.239,0.095,0.103,1.000,
Vermont,2015,0.201,0.083,0.113,0.266,0.162,0.176,1.000,
Virginia,2015,0.241,0.090,0.121,0.274,0.130,0.144,1.000,
Washington,2015,0.237,0.091,0.130,0.265,0.132,0.145,1.000,
West Virginia,2015,0.216,0.086,0.104,0.262,0.149,0.183,1.000,
Wisconsin,2015,0.236,0.088,0.114,0.265,0.141,0.155,1.000,
Wyoming,2015,0.256,0.092,0.123,0.244,0.142,0.142,1.000,
Puerto Rico,2015,0.229,0.100,0.106,0.261,0.125,0.180,1.000,
