Location,Year,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65,Total,Footnotes
United States,2012,0.250,0.094,0.120,0.274,0.125,0.137,1.000,1
Alabama,2012,0.249,0.095,0.112,0.270,0.130,0.144,1.000,
Alaska,2012,0.270,0.106,0.129,0.278,0.134,0.085,1.000,
Arizona,2012,0.262,0.095,0.118,0.257,0.119,0.151,1.000,
Arkansas,2012,0.255,0.091,0.117,0.263,0.126,0.149,1.000,
California,2012,0.258,0.103,0.127,0.277,0.115,0.121,1.000,
Colorado,2012,0.252,0.095,0.129,0.279,0.126,0.118,1.000,
Connecticut,2012,0.238,0.084,0.106,0.293,0.133,0.147,1.000,
Delaware,2012,0.238,0.094,0.109,0.273,0.131,0.155,1.000,
District of Columbia,2012,0.192,0.108,0.207,0.266,0.111,0.116,1.000,
Florida,2012,0.220,0.090,0.109,0.269,0.130,0.182,1.000,
Georgia,2012,0.269,0.094,0.121,0.284,0.117,0.115,1.000,
Hawaii,2012,0.237,0.087,0.122,0.263,0.135,0.155,1.000,
Idaho,2012,0.281,0.095,0.116,0.254,0.123,0.132,1.000,
Illinois,2012,0.253,0.093,0.124,0.277,0.123,0.130,1.000,
Indiana,2012,0.259,0.092,0.116,0.272,0.127,0.135,1.000,
Iowa,2012,0.250,0.093,0.116,0.261,0.131,0.150,1.000,
Kansas,2012,0.267,0.095,0.120,0.260,0.125,0.134,1.000,
Kentucky,2012,0.246,0.090,0.115,0.277,0.132,0.140,1.000,
Louisiana,2012,0.260,0.099,0.124,0.262,0.125,0.130,1.000,
Maine,2012,0.213,0.077,0.102,0.284,0.155,0.170,1.000,
Maryland,2012,0.244,0.090,0.122,0.287,0.128,0.129,1.000,
Massachusetts,2012,0.227,0.088,0.121,0.289,0.132,0.143,1.000,
Michigan,2012,0.243,0.096,0.105,0.275,0.136,0.146,1.000,
Minnesota,2012,0.252,0.084,0.128,0.275,0.129,0.133,1.000,
Mississippi,2012,0.271,0.098,0.112,0.261,0.124,0.134,1.000,
Missouri,2012,0.247,0.091,0.119,0.268,0.129,0.146,1.000,
Montana,2012,0.232,0.088,0.111,0.261,0.150,0.157,1.000,
Nebraska,2012,0.266,0.088,0.122,0.263,0.125,0.136,1.000,
Nevada,2012,0.252,0.093,0.126,0.277,0.122,0.131,1.000,
New Hampshire,2012,0.222,0.082,0.101,0.301,0.148,0.147,1.000,
New Jersey,2012,0.243,0.083,0.114,0.294,0.126,0.139,1.000,
New Mexico,2012,0.266,0.090,0.119,0.255,0.130,0.141,1.000,
New York,2012,0.232,0.097,0.126,0.280,0.126,0.139,1.000,
North Carolina,2012,0.251,0.090,0.114,0.281,0.126,0.138,1.000,
North Dakota,2012,0.237,0.112,0.129,0.251,0.132,0.140,1.000,
Ohio,2012,0.244,0.089,0.111,0.274,0.135,0.146,1.000,
Oklahoma,2012,0.263,0.094,0.120,0.261,0.123,0.140,1.000,
Oregon,2012,0.233,0.090,0.124,0.267,0.137,0.150,1.000,
Pennsylvania,2012,0.229,0.090,0.110,0.274,0.138,0.159,1.000,
Rhode Island,2012,0.223,0.098,0.113,0.281,0.134,0.150,1.000,
South Carolina,2012,0.247,0.092,0.112,0.269,0.132,0.148,1.000,
South Dakota,2012,0.261,0.091,0.119,0.251,0.136,0.141,1.000,
Tennessee,2012,0.246,0.090,0.116,0.276,0.130,0.142,1.000,
Texas,2012,0.286,0.099,0.128,0.271,0.109,0.109,1.000,
Utah,2012,0.324,0.113,0.142,0.234,0.092,0.095,1.000,
Vermont,2012,0.210,0.088,0.103,0.280,0.157,0.161,1.000,
Virginia,2012,0.245,0.090,0.123,0.285,0.126,0.132,1.000,
Washington,2012,0.243,0.092,0.126,0.277,0.131,0.132,1.000,
West Virginia,2012,0.219,0.087,0.106,0.270,0.151,0.167,1.000,
Wisconsin,2012,0.244,0.088,0.116,0.276,0.134,0.142,1.000,
Wyoming,2012,0.249,0.093,0.129,0.259,0.140,0.130,1.000,
Puerto Rico,2012,0.248,0.101,0.111,0.261,0.120,0.158,1.000,
