Location,Year,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65,Total,Footnotes
United States,2017,0.240,0.089,0.123,0.260,0.131,0.156,1.000,1
Alabama,2017,0.240,0.091,0.113,0.255,0.136,0.165,1.000,
Alaska,2017,0.271,0.090,0.138,0.259,0.130,0.113,1.000,
Arizona,2017,0.247,0.093,0.119,0.245,0.123,0.173,1.000,
Arkansas,2017,0.251,0.091,0.113,0.250,0.130,0.165,1.000,
California,2017,0.242,0.096,0.135,0.266,0.122,0.140,1.000,
Colorado,2017,0.238,0.090,0.139,0.266,0.128,0.140,1.000,
Connecticut,2017,0.222,0.086,0.114,0.267,0.147,0.166,1.000,
Delaware,2017,0.224,0.084,0.119,0.249,0.143,0.183,1.000,
District of Columbia,2017,0.191,0.098,0.215,0.269,0.104,0.124,1.000,
Florida,2017,0.213,0.083,0.114,0.254,0.135,0.202,1.000,
Georgia,2017,0.258,0.090,0.120,0.272,0.124,0.136,1.000,
Hawaii,2017,0.231,0.074,0.125,0.252,0.134,0.184,1.000,
Idaho,2017,0.273,0.089,0.113,0.244,0.126,0.154,1.000,
Illinois,2017,0.241,0.089,0.124,0.263,0.132,0.150,1.000,
Indiana,2017,0.250,0.092,0.117,0.256,0.133,0.153,1.000,
Iowa,2017,0.248,0.090,0.115,0.248,0.136,0.164,1.000,
Kansas,2017,0.260,0.094,0.117,0.244,0.132,0.153,1.000,
Kentucky,2017,0.242,0.088,0.114,0.260,0.137,0.159,1.000,
Louisiana,2017,0.255,0.094,0.121,0.251,0.131,0.149,1.000,
Maine,2017,0.201,0.071,0.110,0.258,0.161,0.199,1.000,
Maryland,2017,0.236,0.085,0.123,0.271,0.137,0.149,1.000,
Massachusetts,2017,0.216,0.086,0.131,0.267,0.139,0.162,1.000,
Michigan,2017,0.230,0.092,0.114,0.253,0.143,0.167,1.000,
Minnesota,2017,0.244,0.085,0.124,0.259,0.137,0.152,1.000,
Mississippi,2017,0.259,0.095,0.105,0.254,0.131,0.156,1.000,
Missouri,2017,0.241,0.086,0.122,0.250,0.137,0.164,1.000,
Montana,2017,0.225,0.093,0.113,0.241,0.148,0.181,1.000,
Nebraska,2017,0.260,0.090,0.124,0.244,0.131,0.152,1.000,
Nevada,2017,0.239,0.087,0.127,0.268,0.125,0.155,1.000,
New Hampshire,2017,0.204,0.081,0.114,0.267,0.161,0.175,1.000,
New Jersey,2017,0.233,0.083,0.116,0.274,0.137,0.156,1.000,
New Mexico,2017,0.250,0.094,0.116,0.236,0.135,0.169,1.000,
New York,2017,0.221,0.091,0.132,0.264,0.133,0.159,1.000,
North Carolina,2017,0.241,0.085,0.117,0.267,0.131,0.160,1.000,
North Dakota,2017,0.244,0.104,0.136,0.237,0.135,0.146,1.000,
Ohio,2017,0.237,0.087,0.118,0.253,0.141,0.165,1.000,
Oklahoma,2017,0.262,0.090,0.122,0.246,0.128,0.153,1.000,
Oregon,2017,0.222,0.085,0.129,0.259,0.134,0.171,1.000,
Pennsylvania,2017,0.222,0.083,0.118,0.255,0.145,0.177,1.000,
Rhode Island,2017,0.212,0.093,0.124,0.259,0.145,0.167,1.000,
South Carolina,2017,0.233,0.086,0.114,0.256,0.136,0.175,1.000,
South Dakota,2017,0.256,0.086,0.124,0.235,0.137,0.162,1.000,
Tennessee,2017,0.239,0.086,0.121,0.261,0.134,0.159,1.000,
Texas,2017,0.277,0.095,0.130,0.262,0.114,0.122,1.000,
Utah,2017,0.315,0.107,0.131,0.242,0.097,0.108,1.000,
Vermont,2017,0.200,0.087,0.109,0.253,0.160,0.190,1.000,
Virginia,2017,0.237,0.088,0.121,0.269,0.133,0.153,1.000,
Washington,2017,0.235,0.087,0.133,0.262,0.131,0.151,1.000,
West Virginia,2017,0.219,0.084,0.101,0.255,0.148,0.194,1.000,
Wisconsin,2017,0.234,0.088,0.114,0.255,0.144,0.165,1.000,
Wyoming,2017,0.253,0.086,0.123,0.236,0.145,0.157,1.000,
Puerto Rico,2017,0.212,0.099,0.104,0.257,0.130,0.198,1.000,
